time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
21.405,0.3052,0.4047,0.0995,-0.004
21.455,0.3051,0.4047,0.0996,-0.004
21.505,0.305,0.4047,0.0997,-0.004
21.555,0.3048,0.4047,0.0999,-0.004
21.605,0.3047,0.4047,0.1,-0.004
21.655,0.3044,0.4047,0.1003,-0.004
21.705,0.3042,0.4047,0.1005,-0.004
21.755,0.304,0.4047,0.1007,-0.004
21.805,0.304,0.4047,0.1007,-0.004
21.855,0.3039,0.4047,0.1008,-0.002
21.905,0.3037,0.4047,0.101,-0.004
21.955,0.3035,0.4047,0.1012,-0.004
22.005,0.3034,0.4047,0.1013,-0.004
22.057,0.3034,0.4047,0.1013,-0.004
22.106,0.3034,0.4047,0.1013,-0.002
22.156,0.3033,0.4047,0.1014,-0.002
22.206,0.3033,0.4047,0.1014,-0.002
22.256,0.303,0.4047,0.1017,-0.002
22.306,0.3029,0.4047,0.1018,-0.002
22.356,0.3027,0.4047,0.102,-0.002
22.406,0.3027,0.4047,0.102,-0.002
22.456,0.3025,0.4047,0.1022,-0.002
22.506,0.3024,0.4047,0.1023,-0.002
22.556,0.3023,0.4047,0.1024,-0.002
22.606,0.3023,0.4047,0.1024,-0.002
22.656,0.3022,0.4047,0.1025,-0.002
22.706,0.3021,0.4047,0.1026,-0.002
22.756,0.302,0.4047,0.1027,-0.002
22.806,0.302,0.4047,0.1027,-0.002
22.856,0.302,0.4047,0.1027,-0.002
22.906,0.3019,0.4047,0.1028,-0.002
22.956,0.3019,0.4047,0.1028,-0.002
23.006,0.3018,0.4047,0.1029,-0.002
23.056,0.3017,0.4047,0.103,-0.002
23.106,0.3016,0.4047,0.1031,-0.002
23.156,0.3015,0.4047,0.1032,-0.002
23.206,0.3013,0.4047,0.1034,-0.002
23.256,0.3013,0.4047,0.1034,-0.002
23.306,0.3012,0.4047,0.1035,-0.002
23.356,0.3012,0.4047,0.1035,-0.002
23.406,0.3012,0.4047,0.1035,-0.002
