time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
21.408,0.6661,0.7,0.0339,-0.03
21.458,0.6637,0.7,0.0363,-0.036
21.508,0.6619,0.7,0.0381,-0.036
21.558,0.6599,0.7,0.0401,-0.038
21.608,0.6575,0.7,0.0425,-0.038
21.658,0.6556,0.7,0.0444,-0.038
21.708,0.6532,0.7,0.0468,-0.04
21.758,0.6509,0.7,0.0491,-0.04
21.808,0.6482,0.7,0.0518,-0.046
21.858,0.6457,0.7,0.0543,-0.048
21.908,0.6434,0.7,0.0566,-0.046
21.958,0.6409,0.7,0.0591,-0.048
22.008,0.6383,0.7,0.0617,-0.048
22.06,0.6362,0.7,0.0638,-0.048
22.109,0.6337,0.7,0.0663,-0.05
22.159,0.6304,0.7,0.0696,-0.05
22.209,0.6282,0.7,0.0718,-0.05
22.259,0.626,0.7,0.074,-0.05
22.309,0.6232,0.7,0.0768,-0.05
22.359,0.6207,0.7,0.0793,-0.05
22.409,0.6182,0.7,0.0818,-0.05
22.459,0.6155,0.7,0.0845,-0.05
22.509,0.6133,0.7,0.0867,-0.05
22.559,0.611,0.7,0.089,-0.05
22.609,0.6091,0.7,0.0909,-0.046
22.659,0.6068,0.7,0.0932,-0.046
22.709,0.6054,0.7,0.0946,-0.046
22.759,0.604,0.7,0.096,-0.046
22.809,0.6021,0.7,0.0979,-0.044
22.859,0.6002,0.7,0.0998,-0.038
22.909,0.5983,0.7,0.1017,-0.038
22.959,0.5966,0.7,0.1034,-0.038
23.009,0.5951,0.7,0.1049,-0.038
23.059,0.5942,0.7,0.1058,-0.034
23.109,0.5929,0.7,0.1071,-0.03
23.159,0.592,0.7,0.108,-0.03
23.209,0.5909,0.7,0.1091,-0.03
23.259,0.5893,0.7,0.1107,-0.03
23.309,0.5882,0.7,0.1118,-0.026
23.359,0.5877,0.7,0.1123,-0.022
23.409,0.5874,0.7,0.1126,-0.022
23.459,0.5869,0.7,0.1131,-0.018
23.509,0.5857,0.7,0.1143,-0.022
23.559,0.5857,0.7,0.1143,-0.018
23.609,0.5848,0.7,0.1152,-0.018
23.659,0.5846,0.7,0.1154,-0.01
23.709,0.5846,0.7,0.1154,-0.01
23.759,0.5846,0.7,0.1154,-0.006
23.809,0.5846,0.7,0.1154,-0.004
23.859,0.5846,0.7,0.1154,0.0
23.909,0.5846,0.7,0.1154,0.0
23.959,0.5846,0.7,0.1154,0.0
24.009,0.5846,0.7,0.1154,0.0
24.061,0.5847,0.7,0.1153,0.0
24.11,0.5854,0.7,0.1146,0.0
24.16,0.5863,0.7,0.1137,0.0
24.21,0.5872,0.7,0.1128,0.0
24.26,0.5872,0.7,0.1128,0.0
24.31,0.5883,0.7,0.1117,0.0019
24.36,0.5884,0.7,0.1116,0.002
24.41,0.5895,0.7,0.1105,0.0143
24.46,0.5905,0.7,0.1095,0.018
24.51,0.5918,0.7,0.1082,0.018
24.56,0.5935,0.7,0.1065,0.02
24.61,0.5955,0.7,0.1045,0.022
24.66,0.5963,0.7,0.1037,0.022
24.71,0.5979,0.7,0.1021,0.022
24.76,0.5999,0.7,0.1001,0.026
24.81,0.6013,0.7,0.0987,0.028
24.86,0.6034,0.7,0.0966,0.032
24.91,0.6058,0.7,0.0942,0.034
24.96,0.6078,0.7,0.0922,0.04
25.01,0.6095,0.7,0.0905,0.04
25.06,0.6124,0.7,0.0876,0.04
25.11,0.6134,0.7,0.0866,0.04
25.16,0.6163,0.7,0.0837,0.04
25.21,0.6184,0.7,0.0816,0.042
25.26,0.6204,0.7,0.0796,0.042
25.31,0.6229,0.7,0.0771,0.042
25.36,0.6248,0.7,0.0752,0.04
25.41,0.6271,0.7,0.0729,0.042
25.46,0.6288,0.7,0.0712,0.042
25.51,0.6315,0.7,0.0685,0.042
25.56,0.6328,0.7,0.0672,0.042
25.61,0.6353,0.7,0.0647,0.042
25.66,0.6371,0.7,0.0629,0.04
25.71,0.639,0.7,0.061,0.038
25.76,0.6408,0.7,0.0592,0.038
25.81,0.6425,0.7,0.0575,0.036
25.86,0.644,0.7,0.056,0.036
25.91,0.6453,0.7,0.0547,0.036
25.96,0.6461,0.7,0.0539,0.034
26.01,0.6474,0.7,0.0526,0.034
26.062,0.6484,0.7,0.0516,0.03
26.111,0.6484,0.7,0.0516,0.026
26.161,0.6484,0.7,0.0516,0.026
26.211,0.6484,0.7,0.0516,0.0192
26.261,0.6484,0.7,0.0516,0.016
26.311,0.6484,0.7,0.0516,0.0
26.361,0.6484,0.7,0.0516,0.0
26.411,0.6484,0.7,0.0516,0.0
26.461,0.6482,0.7,0.0518,0.0
26.511,0.6469,0.7,0.0531,0.0
26.561,0.6469,0.7,0.0531,0.0
26.611,0.6456,0.7,0.0544,0.0
26.661,0.6447,0.7,0.0553,0.0
26.711,0.6444,0.7,0.0556,-0.004
26.761,0.6429,0.7,0.0571,-0.006
26.811,0.6415,0.7,0.0585,-0.018
26.861,0.6404,0.7,0.0596,-0.022
26.911,0.639,0.7,0.061,-0.026
26.961,0.6375,0.7,0.0625,-0.026
27.011,0.6365,0.7,0.0635,-0.026
27.061,0.6356,0.7,0.0644,-0.022
27.111,0.6344,0.7,0.0656,-0.024
27.161,0.6331,0.7,0.0669,-0.026
27.211,0.6318,0.7,0.0682,-0.026
27.261,0.6309,0.7,0.0691,-0.024
27.311,0.6297,0.7,0.0703,-0.024
27.361,0.6287,0.7,0.0713,-0.024
27.411,0.628,0.7,0.072,-0.02
27.461,0.6273,0.7,0.0727,-0.02
27.511,0.6272,0.7,0.0728,-0.02
27.561,0.6263,0.7,0.0737,-0.018
27.611,0.6255,0.7,0.0745,-0.018
27.661,0.6251,0.7,0.0749,-0.016
27.711,0.6245,0.7,0.0755,-0.014
27.761,0.6244,0.7,0.0756,-0.014
27.811,0.6243,0.7,0.0757,-0.012
27.861,0.6237,0.7,0.0763,-0.012
27.911,0.6233,0.7,0.0767,-0.008
27.961,0.6232,0.7,0.0768,-0.008
28.011,0.6226,0.7,0.0774,-0.008
28.063,0.6223,0.7,0.0777,-0.008
28.112,0.622,0.7,0.078,-0.0061
28.162,0.6219,0.7,0.0781,-0.0058
28.212,0.6212,0.7,0.0788,-0.0061
28.262,0.6212,0.7,0.0788,-0.0061
28.312,0.6204,0.7,0.0796,-0.0061
28.362,0.6195,0.7,0.0805,-0.0061
28.412,0.619,0.7,0.081,-0.01
28.462,0.6187,0.7,0.0813,-0.0061
28.512,0.6184,0.7,0.0816,-0.0061
28.562,0.6176,0.7,0.0824,-0.01
28.612,0.6168,0.7,0.0832,-0.014
28.662,0.616,0.7,0.084,-0.016
28.712,0.6152,0.7,0.0848,-0.016
28.762,0.6144,0.7,0.0856,-0.016
28.812,0.6136,0.7,0.0864,-0.016
28.862,0.6128,0.7,0.0872,-0.016
28.912,0.612,0.7,0.088,-0.016
